Requisition ID,Status,Created By,Last Updated By,Created Date,Last Updated Date,Submitted On
1,cart,Coupa Support,Coupa Support,2007-06-14T18:02:01-07:00,2007-06-14T18:02:01-07:00,2009-06-29T16:55:38-07:00
2,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-27T14:09:41-07:00,2008-10-27T14:09:41-07:00,2008-10-27T14:10:39-07:00
2,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-27T14:09:41-07:00,2008-10-27T14:09:41-07:00,2008-10-27T14:10:39-07:00
2,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-27T14:10:37-07:00,2008-10-27T14:10:37-07:00,2008-10-27T14:10:39-07:00
3,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-27T14:10:41-07:00,2008-10-27T14:10:41-07:00,2008-10-27T14:12:42-07:00
3,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-27T14:10:41-07:00,2008-10-27T14:10:41-07:00,2008-10-27T14:12:42-07:00
4,draft,Sally (Sales VP) Jones,Sally (Sales VP) Jones,2008-10-27T14:10:48-07:00,2008-10-27T14:10:48-07:00,2008-10-06T05:55:04-07:00
4,cart,Sally (Sales VP) Jones,Sally (Sales VP) Jones,2008-10-27T14:10:48-07:00,2008-10-27T14:10:48-07:00,2008-10-06T05:55:04-07:00
2,ordered,Sally (Sales VP) Jones,Sally (Sales VP) Jones,2008-10-27T14:10:55-07:00,2008-10-27T14:10:55-07:00,2008-10-27T14:10:39-07:00
3,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-27T14:12:42-07:00,2008-10-27T14:12:42-07:00,2008-10-27T14:12:42-07:00
3,ordered,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-27T14:12:44-07:00,2008-10-27T14:12:44-07:00,2008-10-27T14:12:42-07:00
5,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-27T14:12:47-07:00,2008-10-27T14:12:47-07:00,2008-10-28T10:54:10-07:00
5,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-27T14:12:47-07:00,2008-10-27T14:12:47-07:00,2008-10-28T10:54:10-07:00
6,draft,Bob (VP Procurement) Jenkins,Bob (VP Procurement) Jenkins,2008-10-28T10:40:24-07:00,2008-10-28T10:40:24-07:00,2009-03-09T18:46:02-07:00
6,cart,Bob (VP Procurement) Jenkins,Bob (VP Procurement) Jenkins,2008-10-28T10:40:24-07:00,2008-10-28T10:40:24-07:00,2009-03-09T18:46:02-07:00
5,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-28T10:54:10-07:00,2008-10-28T10:54:10-07:00,2008-10-28T10:54:10-07:00
